Path;Parameter;Type;Original;Aprox;Calculation;Name
C://Users//Vojta//Desktop//iv//AKS//datasets\dna\dna.50MB;3;Golomb;419430400;153110628;;dna
C://Users//Vojta//Desktop//iv//AKS//datasets\dna\dna.50MB;4;Golomb;419430400;179322230;;dna
C://Users//Vojta//Desktop//iv//AKS//datasets\dna\dna.50MB;5;Golomb;419430400;168296369;;dna
C://Users//Vojta//Desktop//iv//AKS//datasets\dna\dna.50MB;6;Golomb;419430400;179322401;;dna
C://Users//Vojta//Desktop//iv//AKS//datasets\dna\dna.50MB;7;Golomb;419430400;194512535;;dna
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;3;Golomb;419430400;279716632;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;4;Golomb;419430400;270695330;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;5;Golomb;419430400;243175932;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;6;Golomb;419430400;246513444;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;7;Golomb;419430400;250966504;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;8;Golomb;419430400;247197762;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;9;Golomb;419430400;247998064;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;10;Golomb;419430400;249845412;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;11;Golomb;419430400;251884433;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;12;Golomb;419430400;254232764;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;13;Golomb;419430400;254124920;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;14;Golomb;419430400;253897350;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;15;Golomb;419430400;253757409;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;16;Golomb;419430400;253720613;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;17;Golomb;419430400;274293426;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;18;Golomb;419430400;275175889;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;19;Golomb;419430400;276114569;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;20;Golomb;419430400;277125877;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;21;Golomb;419430400;278600696;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;22;Golomb;419430400;278404249;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;23;Golomb;419430400;278240294;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;24;Golomb;419430400;278096735;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;25;Golomb;419430400;277976911;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;26;Golomb;419430400;277867388;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;27;Golomb;419430400;277763496;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;28;Golomb;419430400;277870419;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;29;Golomb;419430400;277956210;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;30;Golomb;419430400;278028842;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;31;Golomb;419430400;278101149;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;32;Golomb;419430400;278172862;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;33;Golomb;419430400;316550275;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;34;Golomb;419430400;316685655;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;35;Golomb;419430400;316823899;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;36;Golomb;419430400;316970700;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;37;Golomb;419430400;317141334;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;38;Golomb;419430400;317385082;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;39;Golomb;419430400;317364931;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;40;Golomb;419430400;317345024;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;41;Golomb;419430400;317328186;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;42;Golomb;419430400;317311844;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;43;Golomb;419430400;317295572;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;44;Golomb;419430400;317281285;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;45;Golomb;419430400;317267147;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;46;Golomb;419430400;317255177;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;47;Golomb;419430400;317243668;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;48;Golomb;419430400;317232241;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;49;Golomb;419430400;317220831;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;50;Golomb;419430400;317209747;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;51;Golomb;419430400;317200608;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;52;Golomb;419430400;317192228;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;53;Golomb;419430400;317186211;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;54;Golomb;419430400;317181193;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;55;Golomb;419430400;317177676;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;56;Golomb;419430400;317174303;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;57;Golomb;419430400;317171523;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;58;Golomb;419430400;317169286;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;59;Golomb;419430400;317192931;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;60;Golomb;419430400;317214279;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;61;Golomb;419430400;317233948;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;62;Golomb;419430400;317253585;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;63;Golomb;419430400;317273468;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;64;Golomb;419430400;317292307;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;65;Golomb;419430400;367250860;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;66;Golomb;419430400;367271572;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;67;Golomb;419430400;367292309;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;68;Golomb;419430400;367313262;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;69;Golomb;419430400;367336309;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;70;Golomb;419430400;367361984;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;71;Golomb;419430400;367390912;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;72;Golomb;419430400;367390885;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;73;Golomb;419430400;367390861;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;74;Golomb;419430400;367390841;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;75;Golomb;419430400;367390822;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;76;Golomb;419430400;367390805;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;77;Golomb;419430400;367390788;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;78;Golomb;419430400;367390771;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;79;Golomb;419430400;367390756;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;80;Golomb;419430400;367390741;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;81;Golomb;419430400;367390728;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;82;Golomb;419430400;367390716;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;83;Golomb;419430400;367390706;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;84;Golomb;419430400;367390696;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;85;Golomb;419430400;367390688;;english
C://Users//Vojta//Desktop//iv//AKS//datasets\english\english.50MB;86;Golomb;419430400;367390681;;english
